IDNO	LINE	BDNO	BCNO	FR_CODE	FR_SEQ	CAR_FAMILY	CAR_NAME	RS_DATETIME	RF_DATETIME	STAYRESULT
7111230434	1	12311	495	917	J068242	    	CF	2015-11-23 17:07:22.000	2015-11-23 18:24:07.000	77
7111230453	1	12354	538	917	J068251	    	CF	2015-11-23 10:05:27.000	2015-11-23 12:32:16.000	102
7111230464	1	12273	457	917	J068236	    	CF	2015-11-23 08:20:09.000	2015-11-23 09:44:17.000	74
7111230465	1	11969	154	917	J068173	    	CF	2015-11-21 10:27:10.000	2015-11-21 13:09:06.000	117
7111230469	1	11661	846	917	J068097	    	CF	2015-11-20 23:29:31.000	2015-11-21 00:04:52.000	29
7111230472	1	11849	034	917	J068140	    	CF	2015-11-21 09:15:14.000	2015-11-21 10:33:18.000	78
7111230473	1	11929	114	917	J068161	    	CF	2015-11-23 08:25:35.000	2015-11-23 10:01:59.000	11
7111230478	1	11859	044	917	J068143	    	CF	2015-11-23 07:52:40.000	2015-11-23 09:21:04.000	9
7111230481	1	12061	246	917	J068191	    	CF	2015-11-23 12:19:42.000	2015-11-23 15:10:42.000	151
7111230482	1	11895	080	917	J068152	    	CF	2015-11-21 09:31:05.000	2015-11-21 10:06:07.000	35
7111230485	1	12131	315	917	J068205	    	CF	2015-11-23 13:34:17.000	2015-11-23 13:50:09.000	16
7111230487	1	12027	212	917	J068184	    	CF	2015-11-23 10:37:58.000	2015-11-23 11:49:25.000	27
7111230489	1	11882	067	917	J068149	    	CF	2015-11-21 09:44:43.000	2015-11-21 14:19:50.000	220
7111230496	1	11689	874	917	J068104	    	CF	2015-11-21 06:32:31.000	2015-11-21 07:25:58.000	53
7111230501	1	11960	145	917	J068169	    	CF	2015-11-23 09:01:14.000	2015-11-23 09:49:58.000	10
7111230503	1	12019	204	917	J068183	    	CF	2015-11-21 12:07:16.000	2015-11-21 13:13:34.000	66
7111230507	1	11593	779	917	J068082	    	CF	2015-11-21 10:09:25.000	2015-11-21 14:47:58.000	92
7111230509	1	11935	120	917	J068162	    	CF	2015-11-21 10:06:21.000	2015-11-21 14:28:54.000	207
7111230512	1	12069	254	917	J068192	    	CF	2015-11-21 13:30:01.000	2015-11-23 06:56:43.000	116
7111230514	1	11727	912	917	J068113	    	CF	2015-11-21 00:23:32.000	2015-11-21 07:34:11.000	106
7111230522	1	11810	995	917	J068134	    	CF	2015-11-21 07:47:36.000	2015-11-21 09:29:16.000	92
7111230523	1	11826	011	917	J068136	    	CF	2015-11-21 07:58:41.000	2015-11-21 09:19:19.000	71
7111230527	1	12209	393	917	J068225	    	CF	2015-11-23 07:27:12.000	2015-11-23 07:47:32.000	20
7111230529	1	12280	464	917	J068237	    	CF	2015-11-23 08:30:16.000	2015-11-23 09:38:50.000	58
7111230538	1	12378	562	917	J068256	    	CF	2015-11-23 10:35:50.000	2015-11-23 12:47:38.000	87
7111230545	1	11940	125	917	J068164	    	CF	2015-11-21 10:05:56.000	2015-11-21 10:35:05.000	30
7111230549	1	12413	597	917	J068264	    	CF	2015-11-23 11:50:16.000	2015-11-23 12:34:21.000	44
7111230553	1	12440	624	917	J068270	    	CF	2015-11-23 12:20:07.000	2015-11-23 14:09:09.000	99
7111230563	1	12012	197	916	J058408	    	CF	2015-11-23 10:04:41.000	2015-11-23 11:29:11.000	40
7111230570	1	11602	788	916	J058324	    	CF	2015-11-20 22:30:37.000	2015-11-23 06:43:23.000	136
7111230574	1	12462	646	916	J058516	    	CF	2015-11-23 12:16:22.000	2015-11-23 13:32:29.000	69
7111230575	1	12438	622	916	J058510	    	CF	2015-11-23 12:40:28.000	2015-11-23 13:34:17.000	45
7111230580	1	12514	697	916	J058527	    	CF	2015-11-23 13:50:47.000	2015-11-23 14:47:50.000	57
7111230586	1	12425	609	916	J058505	    	CF	2015-11-23 18:42:00.000	2015-11-23 20:01:27.000	28
7111230602	1	11795	980	916	J058363	    	CF	2015-11-21 07:50:27.000	2015-11-21 09:31:20.000	91
7111230605	1	12294	478	916	J058476	    	CF	2015-11-23 08:29:36.000	2015-11-23 09:30:47.000	51
7111230610	1	12097	281	916	J058429	    	CF	2015-11-21 13:29:01.000	2015-11-24 08:11:51.000	638
7111230615	1	11819	004	916	J058370	    	CF	2015-11-21 08:05:26.000	2015-11-21 09:10:45.000	55
7111230620	1	12021	206	916	J058411	    	CF	2015-11-23 10:09:43.000	2015-11-23 11:34:26.000	5
7111230621	1	12371	555	916	J058494	    	CF	2015-11-23 10:06:40.000	2015-11-23 10:39:32.000	33
7111230622	1	11836	021	916	J058375	    	CF	2015-11-23 06:46:35.000	2015-11-23 07:01:53.000	15
7111230627	1	12392	576	916	J058500	    	CF	2015-11-23 18:17:09.000	2015-11-23 19:23:30.000	19
7111230636	1	12185	369	916	J058450	    	CF	2015-11-23 07:30:39.000	2015-11-23 08:42:30.000	62
7111230646	1	12000	185	916	J058405	    	CF	2015-11-23 14:33:48.000	NULL	NULL
7111230652	1	12395	579	916	J058501	    	CF	2015-11-23 10:37:53.000	2015-11-23 12:15:30.000	53
7111230663	1	11717	902	916	J058348	    	CF	2015-11-21 00:12:42.000	2015-11-21 06:56:55.000	79
7111230664	1	11748	933	916	J058354	    	CF	2015-11-21 07:03:53.000	2015-11-21 08:17:31.000	74
7111230665	1	11922	107	916	J058391	    	CF	2015-11-23 09:45:29.000	NULL	NULL
7111230670	1	11667	852	916	J058338	    	CF	2015-11-20 23:33:04.000	2015-11-21 06:36:48.000	96
7111230678	1	11830	015	916	J058373	    	CF	2015-11-23 08:34:11.000	NULL	NULL
7111230687	1	12089	273	916	J058427	    	CF	2015-11-21 13:45:26.000	2015-11-23 06:33:25.000	83
7111230707	1	12174	358	916	J058449	    	CF	2015-11-23 06:44:46.000	2015-11-23 07:08:12.000	24
7111230715	1	12401	585	916	J058502	    	CF	2015-11-23 11:32:12.000	2015-11-23 12:05:39.000	33
7111230716	1	12447	631	916	J058512	    	CF	2015-11-23 19:13:18.000	2015-11-23 20:06:22.000	3
7111230721	1	12059	244	917	J068190	    	CF	2015-11-21 13:31:39.000	2015-11-23 07:06:24.000	126
7111230727	1	11923	108	916	J058392	    	CF	2015-11-21 09:53:42.000	2015-11-21 14:21:37.000	213
7111230733	1	11715	900	917	J068110	    	CF	2015-11-21 06:39:40.000	2015-11-21 07:26:08.000	47
7111230736	1	11781	966	917	J068127	    	CF	2015-11-21 07:46:38.000	2015-11-21 09:28:02.000	92
7111230769	1	11910	095	921	J050080	    	CF	2015-11-21 09:35:08.000	2015-11-21 11:35:05.000	75
7111230770	1	12001	186	921	J050094	    	CF	2015-11-21 11:48:13.000	2015-11-21 13:10:53.000	82
7111230777	1	12469	652	921	J050180	    	CF	2015-11-23 12:41:51.000	2015-11-23 20:28:11.000	93
7111230780	1	11595	781	921	J050021	    	CF	2015-11-20 22:34:39.000	2015-11-21 00:12:55.000	88
7111230784	1	11877	062	921	J050074	    	CF	2015-11-23 07:53:24.000	2015-11-23 09:23:48.000	80
